profit_rank,crop,predicted_yield,modal_price,expected_revenue,cost_per_hectare,net_profit
4642,Wheat,34.29466065124996,2510.0,86079.59823463741,30000.0,56079.59823463741
4643,Wheat,34.29466065124996,2510.0,86079.59823463741,30000.0,56079.59823463741
4644,Wheat,34.29466065124996,2508.0,86011.00891333491,30000.0,56011.00891333491
4645,Wheat,34.230134446950004,2510.0,85917.63746184451,30000.0,55917.63746184451
4646,Wheat,34.230134446950004,2510.0,85917.63746184451,30000.0,55917.63746184451
4647,Wheat,34.230134446950004,2510.0,85917.63746184451,30000.0,55917.63746184451
4648,Wheat,34.29466065124996,2505.0,85908.12493138116,30000.0,55908.12493138116
4649,Wheat,34.29466065124996,2505.0,85908.12493138116,30000.0,55908.12493138116
4650,Wheat,34.230134446950004,2508.0,85849.1771929506,30000.0,55849.17719295061
4651,Wheat,33.62759427625004,2550.0,85750.36540443762,30000.0,55750.365404437616
4652,Wheat,33.62759427625004,2550.0,85750.36540443762,30000.0,55750.365404437616
4653,Wheat,33.62759427625004,2550.0,85750.36540443762,30000.0,55750.365404437616
4654,Wheat,33.62759427625004,2550.0,85750.36540443762,30000.0,55750.365404437616
4655,Wheat,33.62759427625004,2550.0,85750.36540443762,30000.0,55750.365404437616
4656,Wheat,34.230134446950004,2505.0,85746.48678960976,30000.0,55746.48678960976
4657,Wheat,34.230134446950004,2505.0,85746.48678960976,30000.0,55746.48678960976
4658,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4659,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4660,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4661,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4662,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4663,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4664,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4665,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4666,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4667,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4668,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4669,Wheat,34.29466065124996,2500.0,85736.6516281249,30000.0,55736.651628124906
4670,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
