crop,predicted_yield,Modal_x0020_Price,expected_revenue
type_Groundnut,41.67568645859998,6350.0,264640.60901210987
type_Groundnut,41.67568645859998,7900.0,329237.9230229399
type_Groundnut,41.67568645859998,6100.0,254221.6873974599
type_Groundnut,41.67568645859998,9800.0,408421.72729427984
type_Groundnut,41.67568645859998,5875.0,244844.6579442749
type_Groundnut,41.67568645859998,6500.0,270891.9619808999
type_Groundnut,41.67568645859998,9000.0,375081.1781273999
type_Groundnut,41.67568645859998,8000.0,333405.4916687999
type_Groundnut,41.67568645859998,5750.0,239635.1971369499
type_Groundnut,41.67568645859998,10519.0,438386.5458580132
type_Groundnut,41.67568645859998,5012.0,208878.54053050312
type_Groundnut,41.67568645859998,6310.0,262973.5815537659
type_Groundnut,41.67568645859998,5750.0,239635.1971369499
type_Groundnut,41.67568645859998,6455.0,269016.5560902629
type_Groundnut,41.67568645859998,6250.0,260473.0403662499
type_Groundnut,41.67568645859998,9375.0,390709.56054937484
type_Groundnut,41.67568645859998,6500.0,270891.9619808999
type_Groundnut,41.67568645859998,4800.0,200043.2950012799
type_Groundnut,41.67568645859998,8000.0,333405.4916687999
type_Groundnut,41.67568645859998,8500.0,354243.3348980999
type_Groundnut,41.67568645859998,8500.0,354243.3348980999
type_Groundnut,41.67568645859998,8000.0,333405.4916687999
type_Groundnut,41.67568645859998,8000.0,333405.4916687999
type_Groundnut,41.67568645859998,7500.0,312567.6484394999
type_Groundnut,41.67568645859998,6000.0,250054.1187515999
type_Groundnut,41.67568645859998,6250.0,260473.0403662499
type_Groundnut,41.67568645859998,6705.0,279435.4777049129
type_Groundnut,41.67568645859998,6450.0,268808.1776579699
type_Groundnut,41.67568645859998,5500.0,229216.2755222999
type_Groundnut,41.67568645859998,7750.0,322986.5700541499
type_Groundnut,41.67568645859998,7500.0,312567.6484394999
type_Groundnut,41.67568645859998,4250.0,177121.66744904994
type_Groundnut,41.67568645859998,6500.0,270891.9619808999
type_Groundnut,41.67568645859998,6250.0,260473.0403662499
type_Groundnut,41.67568645859998,6750.0,281310.8835955499
type_Groundnut,41.67568645859998,5750.0,239635.1971369499
type_Groundnut,41.67568645859998,6250.0,260473.0403662499
type_Groundnut,41.67568645859998,9500.0,395919.0213566999
type_Groundnut,41.67568645859998,6500.0,270891.9619808999
type_Groundnut,41.67568645859998,5500.0,229216.2755222999
type_Groundnut,41.67568645859998,6225.0,259431.1482047849
type_Groundnut,41.67568645859998,7180.0,299231.42877274787
type_Groundnut,41.67568645859998,6525.0,271933.8541423649
type_Groundnut,41.67568645859998,5700.0,237551.41281401992
type_Groundnut,41.67568645859998,7150.0,297981.1581789899
type_Groundnut,41.67568645859998,7250.0,302148.7268248499
type_Groundnut,41.67568645859998,6500.0,270891.9619808999
type_Groundnut,41.67568645859998,5750.0,239635.1971369499
type_Groundnut,41.67568645859998,5500.0,229216.2755222999
type_Groundnut,41.67568645859998,5750.0,239635.1971369499
type_Groundnut,41.67568645859998,5750.0,239635.1971369499
type_Groundnut,41.67568645859998,6000.0,250054.1187515999
type_Groundnut,41.67568645859998,4600.0,191708.15770955992
type_Groundnut,41.67568645859998,7000.0,291729.8052101999
type_Groundnut,41.67568645859998,5000.0,208378.4322929999
type_Groundnut,41.67568645859998,6000.0,250054.1187515999
type_Groundnut,41.67568645859998,8500.0,354243.3348980999
type_Groundnut,41.67568645859998,6000.0,250054.1187515999
type_Groundnut,41.67568645859998,7000.0,291729.8052101999
type_Jowar,44.52224668189999,5000.0,222611.23340949995
type_Jowar,44.52224668189999,4025.0,179202.0428946475
type_Jowar,44.52224668189999,5050.0,224837.34574359495
type_Jowar,44.52224668189999,2200.0,97948.94270017999
type_Jowar,44.52224668189999,5500.0,244872.35675044995
type_Jowar,44.52224668189999,5782.5,257449.89143808672
type_Jowar,44.52224668189999,4400.0,195897.88540035998
type_Jowar,44.52224668189999,5340.0,237748.79728134596
type_Jowar,44.52224668189999,2050.0,91270.605697895
type_Jowar,44.52224668189999,3500.0,155827.86338665
type_Rubber,47.18258333645006,17500.0,825695.208387876
type_Rubber,47.18258333645006,17500.0,825695.208387876
type_Jowar,43.14059301659997,5000.0,215702.96508299987
type_Jowar,43.14059301659997,4025.0,173640.88689181488
type_Jowar,43.14059301659997,5050.0,217859.99473382987
type_Jowar,43.14059301659997,2200.0,94909.30463651994
type_Jowar,43.14059301659997,5500.0,237273.26159129984
type_Jowar,43.14059301659997,5782.5,249460.47911848934
type_Jowar,43.14059301659997,4400.0,189818.60927303988
type_Jowar,43.14059301659997,5340.0,230370.76670864385
type_Jowar,43.14059301659997,2050.0,88438.21568402994
type_Jowar,43.14059301659997,3500.0,150992.0755580999
type_Jowar,28.786981322499933,5000.0,143934.90661249968
type_Jowar,28.786981322499933,4025.0,115867.59982306224
type_Jowar,28.786981322499933,5050.0,145374.25567862467
type_Jowar,28.786981322499933,2200.0,63331.35890949985
type_Jowar,28.786981322499933,5500.0,158328.39727374964
type_Jowar,28.786981322499933,5782.5,166460.71949735587
type_Jowar,28.786981322499933,4400.0,126662.7178189997
type_Jowar,28.786981322499933,5340.0,153722.48026214965
type_Jowar,28.786981322499933,2050.0,59013.311711124865
type_Jowar,28.786981322499933,3500.0,100754.43462874976
type_Jowar,31.71961125915004,5000.0,158598.0562957502
type_Jowar,31.71961125915004,4025.0,127671.4353180789
type_Jowar,31.71961125915004,5050.0,160184.0368587077
type_Jowar,31.71961125915004,2200.0,69783.14477013008
type_Jowar,31.71961125915004,5500.0,174457.8619253252
type_Jowar,31.71961125915004,5782.5,183418.6521060351
type_Jowar,31.71961125915004,4400.0,139566.28954026016
type_Jowar,31.71961125915004,5340.0,169382.7241238612
type_Jowar,31.71961125915004,2050.0,65025.203081257576
type_Jowar,31.71961125915004,3500.0,111018.63940702514
type_Millets,33.23318632685006,2005.0,66632.53858533438
